year,snap_counts_coverage,snap_counts_run_defense,player_game_count,snap_counts_dl_over_t,snap_counts_fs,snap_counts_pass_rush,grades_defense,grades_run_defense,grades_pass_rush_defense,grades_tackle,snap_counts_defense,snap_counts_dl_outside_t,snap_counts_slot,player,team_name,grades_coverage_defense,grades_defense_penalty,snap_counts_dl_a_gap,player_id,snap_counts_offball,position,snap_counts_dl,snap_counts_dl_b_gap,snap_counts_box,snap_counts_corner
2023,149,140,8,0,173,0,58.0,38.4,,29.2,289,3,51,Sam Franklin Jr.,CAR,65.4,84.4,0,43580,286,S,3,0,58,4
2023,0,427,17,481,0,511,90.1,90.0,78.1,74.9,938,20,0,Derrick Brown,CAR,67.3,47.3,35,43883,0,DI,938,402,0,0
2023,69,366,16,0,0,379,73.8,62.7,75.2,48.9,814,804,5,Brian Burns,CAR,77.7,51.2,0,44522,10,ED,804,0,4,1
2023,481,420,16,0,0,1,64.3,52.3,60.0,47.2,902,2,5,Donte Jackson,CAR,66.6,87.7,0,49377,900,CB,2,0,84,811
2023,0,238,17,63,0,130,63.4,65.4,55.0,42.5,368,6,0,Nick Thurman,CAR,60.0,66.2,151,49607,0,DI,368,148,0,0
2023,19,51,7,0,0,72,71.9,84.3,56.5,61.2,142,138,3,Marquis Haynes Sr.,CAR,60.1,81.9,0,50244,4,ED,138,0,0,1
2023,422,463,17,0,4,104,80.0,74.0,90.1,50.5,989,83,28,Frankie Luvu,CAR,67.7,86.1,0,51028,906,LB,83,0,873,1
2023,198,206,11,0,0,3,45.4,46.9,79.2,61.3,407,2,0,CJ Henderson,CAR,43.9,83.3,0,55593,405,CB,2,0,53,352
2023,25,10,1,0,0,0,65.2,61.5,,34.9,35,0,30,A.J. Parker,CAR,65.0,73.6,0,55983,35,CB,0,0,5,0
2023,52,221,12,38,0,192,65.4,66.4,65.2,49.9,465,401,11,Yetur Gross-Matos,CAR,56.3,54.8,0,56444,11,ED,454,15,0,0
2023,0,217,17,236,0,139,54.6,59.2,44.9,65.4,356,4,0,LaBryan Ray,CAR,60.7,83.2,1,56501,0,DI,356,115,0,0
2023,14,134,13,5,0,83,50.4,53.1,53.3,48.6,231,220,4,DJ Johnson,CAR,43.9,83.3,0,56704,5,ED,226,1,1,0
2023,17,27,2,0,0,3,54.3,55.2,55.9,79.4,47,0,1,Chandler Wooten,CAR,58.3,75.9,0,57726,47,LB,0,0,46,0
2023,81,73,4,0,98,1,56.6,58.4,60.0,29.0,155,0,19,Alex Cook,CAR,56.6,81.7,0,61805,155,S,0,0,38,0
2023,59,46,7,0,0,2,47.2,53.1,77.3,78.9,107,0,2,D'Shawn Jamison,CAR,43.5,78.5,0,76791,107,CB,0,0,16,89
2023,12,35,7,0,0,30,65.6,63.6,59.3,29.4,77,74,2,Eku Leota,CAR,66.5,79.0,0,82363,2,ED,75,1,0,0
2023,150,125,6,0,0,0,84.1,79.7,,79.1,275,3,0,Jaycee Horn,CAR,83.0,82.1,0,83375,272,CB,3,0,31,241
2023,39,23,5,0,2,2,64.8,63.5,70.4,58.2,64,0,38,Jammie Robinson,CAR,62.0,75.6,0,98836,64,S,0,0,24,0
2023,12,89,12,0,0,88,64.0,72.8,58.0,60.0,189,185,2,Amare Barno,CAR,49.8,49.7,0,99780,2,ED,187,2,0,0
